entity,occurrence_count,books,categories,sample_lines
And Comparative,1,1,proper_noun_phrase,B1:1003
Special Collections,1,1,proper_noun_phrase,B1:1009
Pad Thai,1,1,proper_noun_phrase,B1:1250
Tom Kha,1,1,proper_noun_phrase,B1:1250
About James Masters,1,1,proper_noun_phrase,B1:1315
North American,1,1,proper_noun_phrase,B1:1360
But Nadia,1,1,proper_noun_phrase,B1:1405
Jesus Christ,1,1,proper_noun_phrase,B1:1554
The Masters,1,1,proper_noun_phrase,B1:1559
Kansas City Star,1,1,proper_noun_phrase,B1:1580
Sacred Heart Church,1,1,proper_noun_phrase,B1:1581
Sacred Heart,1,1,proper_noun_phrase,B1:1583
Since Sister Katarina,1,1,proper_noun_phrase,B1:1609
Columbian North America,1,1,proper_noun_phrase,B1:1634
The Jesuits,1,1,proper_noun_phrase,B1:1661
Bethany Falls,1,1,gazetteer,B1:1725
The Bethany Falls,1,1,proper_noun_phrase,B1:1725
Limestone Company,1,1,proper_noun_phrase,B1:1726
Pennsylvania,1,1,gazetteer,B1:1754
1112 Pennsylvania Avenue,1,1,address,B1:1754
Father Vincent Moreau,1,1,proper_noun_phrase,B1:1794
Sister Volkov,1,1,proper_noun_phrase,B1:1833
Sister Katarina,1,1,proper_noun_phrase,B1:1865
Walnut,1,1,gazetteer,B1:1993
At Ethan,1,1,proper_noun_phrase,B1:2007
Whatever Dad,1,1,proper_noun_phrase,B1:2010
Called Nadia,1,1,proper_noun_phrase,B1:2051
Post Office,1,1,proper_noun_phrase,B1:2055
The Analysis Chamber,1,1,proper_noun_phrase,B1:2073
Mud Glyph,1,1,proper_noun_phrase,B1:2103
Gottschall Rockshelter,1,1,proper_noun_phrase,B1:2104
First Figura,1,1,proper_noun_phrase,B1:2125
With Elena,1,1,proper_noun_phrase,B1:2128
French Jesuits,1,1,proper_noun_phrase,B1:2174
New World,1,1,proper_noun_phrase,B1:2180
The Fibonacci,1,1,proper_noun_phrase,B1:2333
Father Elias Dryden,1,1,proper_noun_phrase,B1:2431
Father Dryden,1,1,proper_noun_phrase,B1:2439
Whatever William,1,1,proper_noun_phrase,B1:2500
Sankt Emmeram,1,1,proper_noun_phrase,B1:2542
Recite Psalm,1,1,proper_noun_phrase,B1:2583
Latin Vulgate,1,1,proper_noun_phrase,B1:2595
From Nadia,1,1,proper_noun_phrase,B1:2772
Morning Coffees,1,1,proper_noun_phrase,B1:2858
Except Blake,1,1,proper_noun_phrase,B1:2870
Havel Airport,1,1,proper_noun_phrase,B1:2896
Old Town,1,1,proper_noun_phrase,B1:2913
Miroslav Khoury,1,1,proper_noun_phrase,B1:2976
In America,1,1,proper_noun_phrase,B1:2981
The European,1,1,proper_noun_phrase,B1:2981
From Rudolf,1,1,proper_noun_phrase,B1:3023
Not God,1,1,proper_noun_phrase,B1:3143
The Thai,1,1,proper_noun_phrase,B1:3212
Giving Blake,1,1,proper_noun_phrase,B1:3262
And Keepers,1,1,proper_noun_phrase,B1:3489
And Prague,1,1,proper_noun_phrase,B1:3505
The International Symposium,1,1,proper_noun_phrase,B1:3566
Medieval Manuscript Studies,1,1,proper_noun_phrase,B1:3566
Conference Room,1,1,proper_noun_phrase,B1:3567
Grand Hotel Bohemia,1,1,proper_noun_phrase,B1:3567
Klaus Bergmann,1,1,proper_noun_phrase,B1:3601
Professor Sarah Chen,1,1,proper_noun_phrase,B1:3616
Thomas Crane,1,1,proper_noun_phrase,B1:3633
The Theological Hall,1,1,proper_noun_phrase,B1:3712
The Motif Watchers,1,1,proper_noun_phrase,B1:3727
Andrew Masters,1,1,proper_noun_phrase,B1:3728
What James,1,1,proper_noun_phrase,B1:3789
The Moravian Riesling,1,1,proper_noun_phrase,B1:3797
The Gr,1,1,proper_noun_phrase,B1:3859
Everything William,1,1,proper_noun_phrase,B1:3895
That William,1,1,proper_noun_phrase,B1:3960
Before Miroslav,1,1,proper_noun_phrase,B1:3999
Strahov Latin,1,1,proper_noun_phrase,B1:4079
Professor Chen,1,1,proper_noun_phrase,B1:4079
The Ozarks,1,1,proper_noun_phrase,B1:4201
Analysis Chamber,1,1,proper_noun_phrase,B1:4292
The Ozark,1,1,proper_noun_phrase,B1:4376
The Portuguese,1,1,proper_noun_phrase,B1:4387
Or William,1,1,proper_noun_phrase,B1:4416
The Masters Foundation,1,1,proper_noun_phrase,B1:4500
Acoustic Research,1,1,proper_noun_phrase,B1:4500
The Jackson County,1,1,proper_noun_phrase,B1:4554
The Slovak,1,1,proper_noun_phrase,B1:4616
The Grimoire,1,2,proper_noun_phrase,B2:2
De Occulta Philosophia,1,2,proper_noun_phrase,B2:120
Liber Juratus,1,2,proper_noun_phrase,B2:122
Sworn Book,1,2,proper_noun_phrase,B2:122
Liber Sapientiae,1,2,proper_noun_phrase,B2:125
Liber Esdrae Quartus,1,2,proper_noun_phrase,B2:126
Fourth Book,1,2,proper_noun_phrase,B2:126
10 PM Kansas City,1,2,address,B2:195
Just Nadia,1,2,proper_noun_phrase,B2:243
Divine Wisdom,1,2,proper_noun_phrase,B2:285
The Big Bang,1,2,proper_noun_phrase,B2:295
Then Sirach,1,2,proper_noun_phrase,B2:299
And Sirach,1,2,proper_noun_phrase,B2:344
But Andrew,1,2,proper_noun_phrase,B2:358
180 BCE,1,2,address,B2:359
The Fourth Book,1,2,proper_noun_phrase,B2:377
Arctic September,1,2,proper_noun_phrase,B2:381
Corpus Hermeticum,1,2,proper_noun_phrase,B2:439
The Ormsby,1,2,proper_noun_phrase,B2:450
The French,1,2,proper_noun_phrase,B2:540
New France,1,2,proper_noun_phrase,B2:561
The Hotel Phillips Building,1,2,proper_noun_phrase,B2:619
